Source_Stations,Shinkansen_Line,Destination_Stations,Distance,Cost_(Yen),Durations_(Min),Line
Tokyo,Hokuriku_Shinkansen,Ueno,3.7,1050,5,Asama
Ueno,Hokuriku_Shinkansen,Omiya,27.7,1370,18,Asama
Omiya,Hokuriku_Shinkansen,Takasaki,74.8,3210,26,Asama
Takasaki,Hokuriku_Shinkansen,Karuizawa,41.8,2640,19,Asama
Karuizawa,Hokuriku_Shinkansen,Sakudaira,17.7,1210,8,Asama
Sakudaira,Hokuriku_Shinkansen,Ueda,24.7,1300,9,Asama
Ueda,Hokuriku_Shinkansen,Nagano,33.3,1470,12,Asama
Tokyo,Hokuriku_Shinkansen,Ueno,3.7,1050,5,Hakutaka
Ueno,Hokuriku_Shinkansen,Omiya,28.7,1370,18,Hakutaka
Omiya,Hokuriku_Shinkansen,Takasaki,74.8,3210,23,Hakutaka
Takasaki,Hokuriku_Shinkansen,Nagano,117.6,4620,47,Hakutaka
Nagano,Hokuriku_Shinkansen,Joetsu-Myoko,59.2,2860,22,Hakutaka
Joetsu-Myoko,Hokuriku_Shinkansen,Itoigawa,37,1560,13,Hakutaka
Itoigawa,Hokuriku_Shinkansen,Kurobe-Unazukionsen,39.2,1560,14,Hakutaka
Kurobe-Unazukionsen,Hokuriku_Shinkansen,Toyama,33.9,1470,12,Hakutaka
Toyama,Hokuriku_Shinkansen,Shin-Takaoka,18.8,1210,8,Hakutaka
Shin-Takaoka,Hokuriku_Shinkansen,Kanazawa,39.6,1560,13,Hakutaka
Tokyo,Tohoku_Shinkansen,Ueno,3.7,1050,5,Hayabusa
Ueno,Tohoku_Shinkansen,Omiya,26.7,1370,17,Hayabusa
Sendai,Tohoku_Shinkansen,Furukawa,38.6,1650,12,Hayabusa
Furukawa,Tohoku_Shinkansen,Kurikoma-Kogen,21.7,1300,8,Hayabusa
Kurima-Kogen,Tohoku_Shinkansen,Ichinoseki,20.7,1390,9,Hayabusa
Ichinoseki,Tohoku_Shinkansen,Mizusawa-Esashi,25.1,1300,9,Hayabusa
Mizusawa-Esashi,Tohoku_Shinkansen,Kitakami,17.3,1210,7,Hayabusa
Kitakami,Tohoku_Shinkansen,Shin-Hanamaki,14.5,1120,7,Hayabusa
Shin-Hanamaki,Tohoku_Shinkansen,Morioka,33.5,1560,12,Hayabusa
Morioka,Tohoku_Shinkansen,Iwate-Numakunai,32.1,1470,12,Hayabusa
Iwate-Numakunai,Tohoku_Shinkansen,Ninohe,41.7,1470,12,Hayabusa
Ninohe,Tohoku_Shinkansen,Hachinohe,33.8,1470,11,Hayabusa
Hachinohe,Tohoku_Shinkansen,Shichinohe-Towada,36.2,1560,12,Hayabusa
Shichinohe-Towada,Tohoku_Shinkansen,Shin-Aomori,45.5,1740,15,Hayabusa
Shin-Yokohama,Tokaido_Shinkansen,Odawara,51.2,1980,14,Hikari
Shin-Yokohama,Tokaido_Shinkansen,Nagoya,316.2,9900,83,Hikari
Nagoya,Tokaido_Shinkansen,Kyoto,134.5,5170,53,Hikari
Nagoya,Tokaido_Shinkansen,Shin-Osaka,173.7,5940,68,Hikari
Kyoto,Tokaido_Shinkansen,Shin-Osaka,39.3,1450,13,Hikari
Nagano,Hokuriku_Shinkansen,Toyama,169.2,6710,48,Kagayaki
Tokyo,Hokuriku_Shinkansen,Ueno,3.7,1050,5,Kagayaki
Ueno,Hokuriku_Shinkansen,Omiya,26.7,1370,18,Kagayaki
Omiya,Hokuriku_Shinkansen,Nagano,192.4,6050,58,Kagayaki
Toyama,Hokuriku_Shinkansen,Kanazawa,58.4,2860,20,Kagayaki
Kanazawa,Hokuriku_Shinkansen,Fukui,76.7,3210,32,Kagayaki
Shin-Yokohama,Tokaido_Shinkansen,Odawara,51.2,1980,15,Kodama
Odawara,Tokaido_Shinkansen,Atami,18.8,1290,7,Kodama
Atami,Tokaido_Shinkansen,Mishima,16,1200,7,Kodama
Mishima ,Tokaido_Shinkansen,Shin-Fuji,23.8,1380,9,Kodama
Shin-Fuji,Tokaido_Shinkansen,Shizuoka,32.2,1460,11,Kodama
Shizuoka,Tokaido_Shinkansen,Kakegawa,44,1730,14,Kodama
Kakegawa,Tokaido_Shinkansen,Hamamatsu,27.6,1380,11,Kodama
Hamamatsu,Tokaido_Shinkansen,Toyohashi,35.3,2930,27,Kodama
Toyohashi,Tokaido_Shinkansen,Mikawa-Anjo,39.1,1640,13,Kodama
Mikawa-Anjo,Tokaido_Shinkansen,Nagoya,29.3,1360,12,Kodama
Nagoya,Tokaido_Shinkansen,Gifu-Hashima,25.1,1470,11,Kodama
Gifu-Hashima,Tokaido_Shinkansen,Maibara,49.8,1730,13,Kodama
Maibara,Tokaido_Shinkansen,Kyoto,68.2,2160,18,Kodama
Kyoto,Tokaido_Shinkansen,Shin-Osaka,39.3,1450,14,Kodama
Tokyo,Tokaido_Shinkansen,Shinagawa,6.7,1050,6,Kodama 
Shinagawa,Tokaido_Shinkansen,Shin-Yokohama,18.9,1290,10,Kodama 
Tokyo,Tohoku_Shinkansen,Ueno,3.7,1050,5,Komachi
Ueno,Tohoku_Shinkansen,Omiya,26.7,1370,18,Komachi
Omiya,Tohoku_Shinkansen,Morioka,465.3,13200,108,Komachi
Morioka,Tohoku_Shinkansen,Shizukuishi,16,1620,14,Komachi
Shizukuishi,Tohoku_Shinkansen,Tazawako,24,1600,21,Komachi
Tazawako,Tohoku_Shinkansen,Kakunodate,18.7,1820,13,Komachi
Kakunodate,Tohoku_Shinkansen,Omagari,16.8,1620,10,Komachi
Omagari,Tohoku_Shinkansen,Akita,51.6,2650,31,Komachi
Tokyo,Tohoku_Shinkansen,Ueno,3.7,1050,5,Nasuno
Ueno,Tohoku_Shinkansen,Omiya,26.7,1370,18,Nasuno
Omiya,Tohoku_Shinkansen,Oyama,48.9,1990,15,Nasuno
Oyama,Tohoku_Shinkansen,Utsunomiya,28.9,1390,11,Nasuno
Utsunomiya,Tohoku_Shinkansen,Nasu-Shiobara,43.4,3210,27,Nasuno
Nasu-Shiobora,Tohoku_Shinkansen,Shin-Shirakawa,22,1390,10,Nasuno
Shin-Shirakawa,Tohoku_Shinkansen,Koriyama,35.7,3040,22,Nasuno
Shin-Yokohama,Tokaido_Shinkansen,Nagoya,316.2,9900,76,Nozomi
Shin-Yokohama,Tokaido_Shinkansen,Kyoto,450.7,12650,116,Nozomi
Shin-Yokohama,Tokaido_Shinkansen,Shin-Osaka,489.9,13540,128,Nozomi
Nagoya,Tokaido_Shinkansen,Kyoto,134.5,5170,35,Nozomi
Nagoya,Tokaido_Shinkansen,Shin-Osaka,173.7,5940,48,Nozomi
Kyoto,Tokaido_Shinkansen,Shin-Osaka,39.3,1450,14,Nozomi
Tokyo,Joetsu_Shinkansen,Ueno,3.7,1050,5,Tanigawa
Ueno,Joetsu_Shinkansen,Omiya,26.7,1370,18,Tanigawa
Omiya,Joetsu_Shinkansen,Kumagaya,34.4,1470,12,Tanigawa
Kumagaya,Joetsu_Shinkansen,Honjo-Waseda,21.3,1300,9,Tanigawa
Honjo-Waseda,Joetsu_Shinkansen,Takasaki,19.4,1200,8,Tanigawa
Takasaki,Joetsu_Shinkansen,Jomo-Kogen,41.7,1740,15,Tanigawa
Jomo-Kogen,Joetsu_Shinkansen,Echigo-Yuzawa,32.7,1740,12,Tanigawa
Echigo-Yuzawa,Joetsu_Shinkansen,Gala-Yuzawa,1.7,250,3,Tanigawa
Tokyo,Joetsu_Shinkansen,Ueno,3.7,1050,5,Toki
Ueno,Joetsu_Shinkansen,Omiya,27.7,1370,18,Toki
Omiya,Joetsu_Shinkansen,Kumagaya,35.4,1470,12,Toki
Kumagaya,Joetsu_Shinkansen,Honjo-Waseda,21.3,1300,9,Toki
Honjo-Waseda,Joetsu_Shinkansen,Takasaki,19.4,1200,8,Toki
Takasaki,Joetsu_Shinkansen,Jomo-Kogen,41.7,1740,15,Toki
Jomo-Kogen,Joetsu_Shinkansen,Echigo-Yuzawa,32.7,1740,12,Toki
Echigo-Yuzawa,Joetsu_Shinkansen,Urasa,29.8,1390,11,Toki
Urasa,Joetsu_Shinkansen,Nagaoka,33,1650,11,Toki
Nagaoka,Joetsu_Shinkansen,Tsubame-Sanjo,23.7,1300,9,Toki
Tsubame-Sanjo,Joetsu_Shinkansen,Niigata,31.9,1650,12,Toki
Tokyo,Tohoku_Shinkansen,Ueno,3.7,1050,5,Tsubasa
Ueno,Tohoku_Shinkansen,Omiya,26.7,1370,18,Tsubasa
Omiya,Tohoku_Shinkansen,Utsunomiya,77.8,3210,23,Tsubasa
Utsunomiya,Tohoku_Shinkansen,Koriyama,105.1,4620,27,Tsubasa
Koriyama,Tohoku_Shinkansen,Fukushima,41.4,1740,14,Tsubasa
Fukushima,Tohoku_Shinkansen,Yonezawa,40.2,2060,33,Tsubasa
Yonezawa,Tohoku_Shinkansen,Takahata,9.9,1490,7,Tsubasa
Takahata,Tohoku_Shinkansen,Kaminayama,25.9,1800,18,Tsubasa
Kaminayama,Tohoku_Shinkansen,Yamagata,12.1,1530,9,Tsubasa
Yamagata,Tohoku_Shinkansen,Tendo,13.4,1330,11,Tsubasa
Tendo,Tohoku_Shinkansen,Sakurambo,7.7,1490,5,Tsubasa
Sakurambo,Tohoku_Shinkansen,Murayama,5.4,1480,4,Tsubasa
Murayama,Tohoku_Shinkansen,Oishida,13.6,1530,11,Tsubasa
Oishida,Tohoku_Shinkansen,Shinjo,21.5,1510,15,Tsubasa
Toyama,Hokuriku_Shinkansen,Shin-Takaoka,18.8,1210,8,Tsurugi
Shin-Takaoka,Hokuriku_Shinkansen,Kanazawa,39.6,1560,14,Tsurugi
Kanazawa,Hokuriku_Shinkansen,Fukui,76.7,3210,27,Tsurugi
Tokyo,Tohoku_Shinkansen,Ueno,3.7,1050,5,Yamabiko
Ueno,Tohoku_Shinkansen,Omiya,26.7,1370,18,Yamabiko
Omiya,Tohoku_Shinkansen,Utsunomiya,77.8,3210,27,Yamabiko
Omiya,Tohoku_Shinkansen,Sendai,294.2,8370,98,Yamabiko
Utsunomiya,Tohoku_Shinkansen,Koriyama,105.1,4620,28,Yamabiko
Koriyama,Tohoku_Shinkansen,Fukushima,41.4,1740,13,Yamabiko
Fukushima,Tohoku_Shinkansen,Sendai,70.3,3210,26,Yamabiko
Sendai,Tohoku_Shinkansen,Furukawa,38.6,1650,13,Yamabiko
Furukawa,Tohoku_Shinkansen,Kurikoma-Kogen,21.7,1300,9,Yamabiko
Kurima-Kogen,Tohoku_Shinkansen,Ichinoseki,20.7,1390,8,Yamabiko
Ichinoseki,Tohoku_Shinkansen,Mizusawa-Esashi,25.1,1300,9,Yamabiko
Mizusawa-Esashi,Tohoku_Shinkansen,Kitakami,17.3,1210,8,Yamabiko
Kitakami,Tohoku_Shinkansen,Shin-Hanamaki,14.5,1120,7,Yamabiko
Shin-Hanamaki,Tohoku_Shinkansen,Morioka,33.5,1560,12,Yamabiko
